date,ym,cambodia_khmer_times_body_count,cambodia_khmer_times_epu_count,cambodia_khmer_times_ratio,cambodia_kampuchea_thmey_daily_body_count,cambodia_kampuchea_thmey_daily_epu_count,cambodia_kampuchea_thmey_daily_ratio,news_total,cambodia_khmer_times_weights,cambodia_kampuchea_thmey_daily_weights,cambodia_khmer_times_z_score,cambodia_kampuchea_thmey_daily_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2021-11-01,2021-11,1041.0,11.0,0.010566762728146013,835.0,0.0,0.0,1876.0,0.5549040511727079,0.4450959488272921,1.2553525684692435,,1.2553525684692435,0.6966002258936475,70.51578675475841,144.3668198147082,70.51578675475841
2021-12-01,2021-12,1026.0,10.0,0.009746588693957114,857.0,0.0,0.0,1883.0,0.544875199150292,0.4551248008497079,1.157914251086729,,1.157914251086729,0.6309187581598428,63.866951166864645,133.16131439581008,63.866951166864645
2022-01-01,2022-1,1029.0,9.0,0.008746355685131196,711.0,0.0,0.0,1740.0,0.5913793103448276,0.4086206896551724,1.0390845670101903,,1.0390845670101903,0.6144931146284401,62.20420812786525,119.49578009046748,62.20420812786525
2022-02-01,2022-2,952.0,11.0,0.011554621848739496,633.0,0.0,0.0,1585.0,0.6006309148264984,0.39936908517350156,1.3727122098492464,,1.3727122098492464,0.8244933903952572,83.46221826619986,157.86329771755385,83.46221826619986
2022-03-01,2022-3,1098.0,7.0,0.006375227686703097,716.0,0.0,0.0,1814.0,0.6052921719955898,0.3947078280044101,0.7573898134157458,,0.7573898134157458,0.4584421252097513,46.40740260917546,87.10059744906266,46.40740260917546
2022-04-01,2022-4,996.0,5.0,0.0050200803212851405,573.0,0.0,0.0,1569.0,0.6347992351816444,0.3652007648183556,0.5963955931802128,,0.5963955931802128,0.37859146641650226,38.32424125149973,68.58609867976963,38.32424125149973
2022-05-01,2022-5,1065.0,2.0,0.0018779342723004694,585.0,0.0,0.0,1650.0,0.6454545454545455,0.35454545454545455,0.2231023514769923,,0.2231023514769923,0.14400242686242232,14.577147763297713,25.656996914572982,14.577147763297713
2022-06-01,2022-6,1077.0,16.0,0.014856081708449397,536.0,0.0,0.0,1613.0,0.6676999380037197,0.3323000619962802,1.764932251238602,,1.764932251238602,1.17844515473278,119.29221976164277,202.96900066124587,119.29221976164277
2022-07-01,2022-7,1018.0,9.0,0.008840864440078585,587.0,0.0,0.0,1605.0,0.6342679127725857,0.36573208722741435,1.0503123963197305,,1.0503123963197305,0.6661794513728883,67.43633778348007,120.7869918596179,67.43633778348007
2022-08-01,2022-8,1100.0,5.0,0.004545454545454545,726.0,0.0,0.0,1826.0,0.6024096385542169,0.39759036144578314,0.5400091007340837,,0.5400091007340837,0.3253066871892071,32.930303682148455,62.10159480459143,32.930303682148455
