date,ym,china_daily_body_count,china_daily_epu_count,china_daily_ratio,china_caixin_global_body_count,china_caixin_global_epu_count,china_caixin_global_ratio,china_people_s_daily_online_body_count,china_people_s_daily_online_epu_count,china_people_s_daily_online_ratio,news_total,china_daily_weights,china_caixin_global_weights,china_people_s_daily_online_weights,china_daily_z_score,china_caixin_global_z_score,china_people_s_daily_online_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2023-02-01,2023-2,77.0,4.0,0.05194805194805195,33.0,0.0,0.0,0.0,0.0,0.0,110.0,0.7,0.3,0.0,2.7647328077526128,0.0,,1.3823664038763064,1.9353129654268288,204.04838452237777,179.3602047915855,204.04838452237777
2023-03-01,2023-3,199.0,3.0,0.01507537688442211,49.0,0.0,0.0,0.0,0.0,0.0,248.0,0.8024193548387096,0.1975806451612903,0.0,0.8023282394357456,0.0,,0.4011641197178728,0.6438037082569087,67.87899888345227,52.050511692030454,67.87899888345227
2023-04-01,2023-4,59.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,92.0,0.6413043478260869,0.358695652173913,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-05-01,2023-5,61.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,99.0,0.6161616161616161,0.3838383838383838,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-06-01,2023-6,81.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,117.0,0.6923076923076923,0.3076923076923077,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-07-01,2023-7,72.0,2.0,0.027777777777777776,32.0,0.0,0.0,0.0,0.0,0.0,104.0,0.6923076923076923,0.3076923076923077,0.0,1.4783640708121608,0.0,,0.7391820354060804,1.0234828182545728,107.91020335318053,95.90788728438945,107.91020335318053
2023-08-01,2023-8,60.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,96.0,0.625,0.375,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-09-01,2023-9,88.0,1.0,0.011363636363636364,34.0,0.0,0.0,0.0,0.0,0.0,122.0,0.7213114754098361,0.2786885245901639,0.0,0.6047853016958841,0.0,,0.30239265084794203,0.436238578272441,45.99451290463434,39.23504479815933,45.99451290463434
2023-10-01,2023-10,62.0,2.0,0.03225806451612903,33.0,0.0,0.0,0.0,0.0,0.0,95.0,0.6526315789473685,0.3473684210526316,0.0,1.7168098886850902,0.0,,0.8584049443425451,1.1204443484050064,118.13327524979768,111.37690136251679,118.13327524979768
2023-11-01,2023-11,46.0,2.0,0.043478260869565216,29.0,0.0,0.0,0.0,0.0,0.0,75.0,0.6133333333333333,0.38666666666666666,0.0,2.3139611543146867,0.0,,1.1569805771573434,1.4192295079796744,149.63548198307703,150.1166931407835,149.63548198307703
