date,ym,china_daily_body_count,china_daily_epu_count,china_daily_ratio,china_caixin_global_body_count,china_caixin_global_epu_count,china_caixin_global_ratio,china_people_s_daily_online_body_count,china_people_s_daily_online_epu_count,china_people_s_daily_online_ratio,news_total,china_daily_weights,china_caixin_global_weights,china_people_s_daily_online_weights,china_daily_z_score,china_caixin_global_z_score,china_people_s_daily_online_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2025-01-01,2025-1,54.0,0.0,0.0,10.0,0.0,0.0,89.0,1.0,0.011235955056179775,153.0,0.35294117647058826,0.06535947712418301,0.5816993464052288,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2025-02-01,2025-2,52.0,0.0,0.0,13.0,0.0,0.0,73.0,1.0,0.0136986301369863,138.0,0.37681159420289856,0.09420289855072464,0.5289855072463768,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2025-03-01,2025-3,144.0,1.0,0.006944444444444444,14.0,0.0,0.0,229.0,1.0,0.004366812227074236,387.0,0.37209302325581395,0.03617571059431524,0.5917312661498708,0.3806141060854213,0.0,,0.19030705304271064,0.1416238534271335,18.600418131453086,27.78977795046548,18.600418131453086
2025-04-01,2025-4,67.0,0.0,0.0,16.0,0.0,0.0,76.0,3.0,0.039473684210526314,159.0,0.42138364779874216,0.10062893081761007,0.4779874213836478,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2025-05-01,2025-5,63.0,1.0,0.015873015873015872,21.0,0.0,0.0,87.0,2.0,0.022988505747126436,171.0,0.3684210526315789,0.12280701754385964,0.5087719298245614,0.8699750996238201,0.0,,0.43498754981191007,0.3205171419666706,42.09568313960436,63.51949245820682,42.09568313960436
2025-06-01,2025-6,65.0,1.0,0.015384615384615385,13.0,0.0,0.0,97.0,0.0,0.0,175.0,0.37142857142857144,0.07428571428571429,0.5542857142857143,0.8432066350200104,0.0,,0.4216033175100052,0.3131910358645753,41.13349609641341,61.56504653641585,41.13349609641341
2025-07-01,2025-7,73.0,2.0,0.0273972602739726,23.0,0.0,0.0,169.0,2.0,0.011834319526627219,265.0,0.27547169811320754,0.08679245283018867,0.6377358490566037,1.5016008568849497,0.0,,0.7508004284424749,0.41364853793434464,54.32725899526298,109.63638424293231,54.32725899526298
2025-08-01,2025-8,67.0,1.0,0.014925373134328358,18.0,0.0,0.0,411.0,11.0,0.0267639902676399,496.0,0.1350806451612903,0.036290322580645164,0.8286290322580645,0.8180362877059801,0.0,,0.40901814385299007,0.11050086950867069,14.512826243694242,59.72728395323925,14.512826243694242
2025-09-01,2025-9,92.0,2.0,0.021739130434782608,39.0,0.0,0.0,584.0,8.0,0.0136986301369863,715.0,0.12867132867132866,0.05454545454545454,0.8167832167832167,1.191487636441319,0.0,,0.5957438182206595,0.1533102972763655,20.135277809433134,86.99408749710935,20.135277809433134
2025-10-01,2025-10,80.0,0.0,0.0,46.0,0.0,0.0,622.0,8.0,0.012861736334405145,748.0,0.10695187165775401,0.06149732620320856,0.8315508021390374,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2025-11-01,2025-11,78.0,5.0,0.0641025641025641,48.0,0.0,0.0,601.0,11.0,0.018302828618968387,727.0,0.10729023383768914,0.06602475928473177,0.8266850068775791,3.513360979250043,0.0,,1.7566804896250214,0.3769493210199496,49.507302729520944,256.521027235066,49.507302729520944
2025-12-01,2025-12,74.0,0.0,0.0,56.0,0.0,0.0,603.0,10.0,0.01658374792703151,733.0,0.1009549795361528,0.07639836289222374,0.8226466575716235,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
