date,ym,lao_pasaxon_body_count,lao_pasaxon_epu_count,lao_pasaxon_ratio,lao_kosmo_body_count,lao_kosmo_epu_count,lao_kosmo_ratio,lao_kpl_body_count,lao_kpl_epu_count,lao_kpl_ratio,lao_the_tian_times_body_count,lao_the_tian_times_epu_count,lao_the_tian_times_ratio,news_total,lao_pasaxon_weights,lao_kosmo_weights,lao_kpl_weights,lao_the_tian_times_weights,lao_pasaxon_z_score,lao_kosmo_z_score,lao_kpl_z_score,lao_the_tian_times_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2020-12-01,2020-12,0.0,0.0,0.0,1260.0,0.0,0.0,95,0.0,0.0,45.0,1.0,0.022222222222222223,1400.0,0.0,0.9,0.06785714285714285,0.03214285714285714,,,,0.5247479980151085,0.5247479980151085,0.016866899936199914,21.713211523508292,113.10031904440308,21.713211523508292
2021-01-01,2021-1,0.0,0.0,0.0,1432.0,0.0,0.0,121,0.0,0.0,46.0,2.0,0.043478260869565216,1599.0,0.0,0.8955597248280175,0.07567229518449031,0.028767979987492184,,,,1.0266808656817341,1.0266808656817341,0.029535534597473278,38.02188384354174,221.28323291296255,38.02188384354174
2021-02-01,2021-2,0.0,0.0,0.0,1181.0,0.0,0.0,118,0.0,0.0,56.0,0.0,0.0,1355.0,0.0,0.8715867158671586,0.08708487084870849,0.041328413284132844,,,,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,2021-3,0.0,0.0,0.0,1231.0,0.0,0.0,146,0.0,0.0,69.0,4.0,0.057971014492753624,1446.0,0.0,0.851313969571231,0.10096818810511757,0.04771784232365145,,,,1.368907820908979,1.368907820908979,0.06532132755374795,84.08989248384955,295.04431055061673,84.08989248384955
2021-04-01,2021-4,0.0,0.0,0.0,1168.0,0.0,0.0,80,0.0,0.0,69.0,2.0,0.028985507246376812,1317.0,0.0,0.8868640850417616,0.060744115413819286,0.05239179954441914,,,,0.6844539104544894,0.6844539104544894,0.03585977207392542,46.16324393760307,147.52215527530836,46.16324393760307
2021-05-01,2021-5,0.0,0.0,0.0,1387.0,0.0,0.0,35,0.0,0.0,94.0,1.0,0.010638297872340425,1516.0,0.0,0.9149076517150396,0.02308707124010554,0.06200527704485488,,,,0.2512091479859562,0.2512091479859562,0.015576292817071164,20.051778451788664,54.14376975529935,20.051778451788664
2021-06-01,2021-6,0.0,0.0,0.0,1458.0,0.0,0.0,65,0.0,0.0,104.0,2.0,0.019230769230769232,1627.0,0.0,0.8961278426551936,0.03995082974800246,0.06392132759680394,,,,0.4541088444361516,0.4541088444361516,0.029027240209809325,37.36754288003886,97.87527609611806,37.36754288003886
2021-07-01,2021-7,0.0,0.0,0.0,1604.0,0.0,0.0,104,0.0,0.0,111.0,2.0,0.018018018018018018,1819.0,0.0,0.8818031885651457,0.057174271577789995,0.06102253985706432,,,,0.42547134974197987,0.42547134974197987,0.02596334239766892,33.423305258836294,91.70296138735384,33.423305258836294
2021-08-01,2021-8,0.0,0.0,0.0,1678.0,0.0,0.0,140,0.0,0.0,102.0,3.0,0.029411764705882353,1920.0,0.0,0.8739583333333333,0.07291666666666667,0.053125,,,,0.6945194091376437,0.6945194091376437,0.03689634361043732,47.4976502076744,149.69159873523938,47.4976502076744
2021-09-01,2021-9,0.0,0.0,0.0,1857.0,0.0,0.0,67,0.0,0.0,120.0,2.0,0.016666666666666666,2044.0,0.0,0.9085127201565558,0.03277886497064579,0.05870841487279843,,,,0.39356099851133136,0.39356099851133136,0.02310534237835605,29.744125374668894,84.8252392833023,29.744125374668894
