date,ym,philippines_abc_au_solomon_islands_body_count,philippines_abc_au_solomon_islands_epu_count,philippines_abc_au_solomon_islands_ratio,philippines_asia_news_network_body_count,philippines_asia_news_network_epu_count,philippines_asia_news_network_ratio,philippines_philippine_star_body_count,philippines_philippine_star_epu_count,philippines_philippine_star_ratio,philippines_abante_body_count,philippines_abante_epu_count,philippines_abante_ratio,philippines_inquirer_body_count,philippines_inquirer_epu_count,philippines_inquirer_ratio,news_total,philippines_abc_au_solomon_islands_weights,philippines_asia_news_network_weights,philippines_philippine_star_weights,philippines_abante_weights,philippines_inquirer_weights,philippines_abc_au_solomon_islands_z_score,philippines_asia_news_network_z_score,philippines_philippine_star_z_score,philippines_abante_z_score,philippines_inquirer_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2021-07-01,2021-7,5.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0,0.0,737,15.0,0.0203527815468114,1175.0,0.00425531914893617,0.0,0.0,0.36851063829787234,0.6272340425531915,1.5516510757861826,,,0.0,1.3887624798703495,0.9801378518855106,0.877681874930535,53.97308330213328,131.44759645106674
2021-08-01,2021-8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.0,0.0,0.0,658,24.0,0.0364741641337386,1155.0,0.0017316017316017316,0.0,0.0,0.42857142857142855,0.5696969696969697,0.0,,,0.0,2.4887974411293556,0.8295991470431185,1.4178603604009663,87.19138167091673,111.25864967554682
2021-09-01,2021-9,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.0,0.0,0.0,754,17.0,0.022546419098143235,1206.0,0.005804311774461028,0.0,0.0,0.36898839137645106,0.6252072968490879,0.0,,,0.0,1.5384443068342712,0.5128147689447571,0.9618466064287235,59.14879695648321,68.77427361133216
2021-10-01,2021-10,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,0.0,0.0,580,28.0,0.04827586206896552,1050.0,0.007619047619047619,0.0,0.0,0.44,0.5523809523809524,0.0,,,0.0,3.294080751103969,1.0980269170346564,1.8195874625145734,111.89560647767647,147.25785643838182
2021-11-01,2021-11,7.0,2.0,0.2857142857142857,2.0,0.0,0.0,0.0,0.0,0.0,452.0,0.0,0.0,494,17.0,0.03441295546558704,955.0,0.007329842931937173,0.0020942408376963353,0.0,0.4732984293193717,0.5172774869109947,2.2166443939802605,,,0.0,2.3481518367470455,1.5215987435757687,1.2308937362417824,75.69386136350357,204.06363984538876
2021-12-01,2021-12,9.0,0.0,0.0,6.0,2.0,0.3333333333333333,0.0,0.0,0.0,414.0,0.0,0.0,439,14.0,0.03189066059225513,868.0,0.010368663594470046,0.0069124423963133645,0.0,0.4769585253456221,0.5057603686635944,0.0,,,0.0,2.176044231936563,0.7253480773121876,1.1005569329725242,67.67879424053012,97.27739946954608
2022-01-01,2022-1,0.0,0.0,0.0,32.0,2.0,0.0625,0.0,0.0,0.0,436.0,0.0,0.0,519,16.0,0.030828516377649325,987.0,0.0,0.03242147922998987,0.0,0.44174265450861194,0.5258358662613982,0.0,,,0.0,2.103569320826096,0.7011897736086987,1.1061321960574915,68.02164527518326,94.03749709249814
2022-02-01,2022-2,3.0,1.0,0.3333333333333333,18.0,1.0,0.05555555555555555,0.0,0.0,0.0,423.0,0.0,0.0,457,10.0,0.02188183807439825,901.0,0.003329633740288568,0.01997780244173141,0.0,0.4694783573806881,0.5072142064372919,2.586085126310304,,,0.0,1.4930969331355908,1.3597273531486316,0.7659306923661441,47.10093969527442,182.35485146944018
2022-03-01,2022-3,2.0,0.0,0.0,47.0,9.0,0.19148936170212766,0.0,0.0,0.0,419.0,1.0,0.002386634844868735,470,14.0,0.029787234042553193,938.0,0.0021321961620469083,0.050106609808102345,0.0,0.4466950959488273,0.5010660980810234,0.0,,,3.760895252148935,2.0325179102556405,1.9311377208015255,2.698399284083747,165.9381758952192,258.98745908754375
2022-04-01,2022-4,5.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,376.0,0.0,0.0,398,2.0,0.005025125628140704,813.0,0.006150061500615006,0.041820418204182044,0.0,0.46248462484624847,0.48954489544895446,0.0,,,0.0,0.342887084644706,0.11429569488156867,0.1678586220031894,10.322472922294876,15.32834830119552
