,code,title,keywords
81,03.1.2.2,Garments for women or girls (SD),"garments for women or girls, either ready to wear or made to measure, in all materials including leather, furs, plastics and rubber , for everyday wear, for sport or for work capes, overcoats, raincoats, anoraks, parkas, blousons, jackets, trousers, waistcoats, suits, costumes, dresses, skirts, etc shirts, blouses, pullovers, sweaters, cardigans, shorts, swimsuits, tracksuits, jogging suits, sweatshirts, t shirts, leotards, etc traditional garments vests, underpants, socks, stockings, tights, petticoats, brassieres, knickers, slips, girdles, corsets, body stockings, etc pyjamas, nightshirts, nightdresses, housecoats, dressing gowns, bathrobes, etc"
82,03.1.2.3,Garments for infants (under 2 years of age) (SD),"garments for infants or babies under years of age , either ready to wear or made to measure, in all materials raincoats, anoraks, parkas, blousons, jackets, trousers, waistcoats, suits, costumes, dresses, skirts, etc vests, underpants, socks, stockings, tights, etc pyjamas, nightshirts, nightdresses, dressing gowns, bathrobes, etc"
83,03.1.2.4,School uniforms (SD),school uniforms
84,03.1.3.1,Other articles of clothing (SD),"ties, handkerchiefs, scarves, gloves, mittens, muffs, belts, braces, aprons, smocks, bibs, sleeve protectors, hats, caps, berets, bonnets, etc working gloves"
85,03.1.3.2,Clothing accessories (SD),"sewing threads, knitting yarns and accessories used in the creation of clothing, such as buckles, buttons, press studs, zip fasteners, ribbons, laces, trimmings, etc"
88,03.2.1.1,Footwear for men (SD),"all footwear for men either ready to wear or made to measure gaiters and similar articles shoelaces parts of footwear, such as heels, soles, etc , purchased by households with the intention of undertaking footwear repair themselves sports footwear suitable for everyday or leisure wear shoes for jogging, cross training, tennis, basketball, boating, etc"
89,03.2.1.2,Footwear for women (SD),"all footwear for women either ready to wear or made to measure gaiters and similar articles shoelaces parts of footwear, such as heels, soles, etc , purchased by households with the intention of undertaking footwear repair themselves sports footwear suitable for everyday or leisure wear shoes for jogging, cross training, tennis, basketball, boating, etc"
90,03.2.1.3,Footwear for infants and children (SD),"all footwear for infants and children under years of age either ready to wear or made to measure gaiters and similar articles shoelaces parts of footwear, such as heels, soles, etc , purchased by households with the intention of repairing footwear themselves sports footwear suitable for everyday or leisure wear shoes for jogging cross training, tennis, basketball, boating, etc baby s booties made of fabric or sheepskin"
97,04.3.1.1,Materials for the maintenance and repair of the dwelling (ND),"products and materials such as paints and varnishes, renderings, wallpapers, fabric wall coverings, windowpanes, plaster, cement, putty, wallpaper pastes and so on, purchased for minor maintenance and repair of dwellings small plumbing items pipes, taps, joints, etc , surfacing materials floorboards, ceramic tiles, etc and brushes and scrapers for paint, varnish and wallpaper fitted carpets and linoleum door fittings, power sockets and wiring flex"
98,04.3.1.2,Security equipment (SD),"small surveillance and security equipment for individual dwellings smoke detectors, security alarms, and security and surveillance cameras door phones for dwellings fire extinguishers"
