,code,title,keywords
50,05.3.2,Small household appliances (SD),"multifunction machines, food mixers, blenders and blenders with heating elements slicing machines rice cookers and slow cookers toasters sandwich grills meat and fish grills deep fryers ice cream makers sorbet makers yoghurt makers hot plates can openers electric knives coffee machines tea makers water boilers kettles coffee mills juice extractors electric irons fans electric blankets non electric appliances for cooking and processing of food, such as puree makers, mincers, hot plates and household scales non electric appliances for preparing beverages, such as coffee mills, sparkling water makers and juice extractors other non electric household appliances, such as irons and ironing boards"
52,05.4.0,"Glassware, tableware and household utensils (SD)","glassware, crystal ware, ceramic ware and china ware of the kind used for table, kitchen, bathroom or toilet cutlery, flatware and silverware kitchen utensils of all materials, such as saucepans, stewpots, pressure cookers and frying pans household articles of all materials, such as containers for bread, coffee and spices, etc and waste bins, waste paper baskets, laundry baskets, portable money boxes and strongboxes, towel rails, bottle racks, letter boxes, feeding bottles, thermos flasks and iceboxes repair and hire of glassware, tableware and household utensils"
53,05.5.1,Motorized tools and equipment (D),"electric drills, percussion drills, electric saws and electric sanders garden tractors, chain saws, lawn mowers, lawn clippers, hedge cutters and cultivators water pumps electric screwdrivers"
54,05.5.2,Non-motorized tools and miscellaneous accessories (SD),"hand tools, such as saws, hammers, screwdrivers, wrenches, spanners, pliers, trimming knives, rasps and files garden tools, such as wheelbarrows, watering cans, hoses, spades, shovels, rakes, forks, scythes, sickles and secateurs ladders and steps fittings for radiators and fireplaces, other household accessories curtain rails, curtain rods, string curtain rods, carpet rods, hooks, etc and garden accessories chains, grids, stakes and hoop segments for fencing and bordering small electric accessories, such as switches, lamp bulbs, fluorescent lighting tubes, torches, flashlights, hand lamps and electric batteries and chargers for general use"
56,05.6.1,Non-durable household goods (ND),"detergents, hand and machine dishwashing detergents, scouring powders, disinfectant bleaches, softeners, conditioners and stain removers general purpose cleansers, window cleaning products, unblocking agent and disinfectants floor waxes and polishes polishes, creams and other shoe cleaning items e g , shoe brushes insecticides, pesticides, fungicides and distilled water dustpans, dust brushes and dusters cloths, floor cloths and chamois leathers dish brushes, household sponges, scourers and steel wool filters, tablecloths and table napkins, kitchen papers, baking parchment rolls, kitchen films, aluminium foils and doilies disposable plates, cups and cutlery vacuum cleaner bags candles, lamp wicks, methylated spirits and garbage bags and other single use plastic bags matches, clothes pegs, clothes hangers, pins, safety pins, sewing needles, knitting needles, thimbles, nails, screws, nuts and bolts, tacks, washers, glues and adhesive tapes for household use, string, twine, rubber gloves and gardening gloves pool cleaning chemicals and water treatment chemicals"
58,06.1.1,Medicines (ND),"all medicines, including branded and generic products, used to prevent, diagnose and treat illnesses, diseases and injuries pharmaceutical preparations used to treat illnesses, diseases and injuries e g , extemporaneous ointments, syrups, capsules and other galenic substances prepared on prescription vaccines, hormones, oral contraceptives and other pharmaceutical products used to prevent, diagnose and treat illnesses, diseases and injuries vitamin and mineral supplements fluids required for dialysis, as well as gases used in health care, such as oxygen, when purchased by the patient directly service fees charged by pharmacists for dispensing medicines"
59,06.1.2,Medical products (ND),"diagnostic equipment for self testing and personal use outside a health facility or institution pregnancy testing kits thermometers, glucose meters, blood pressure meters and other devices used in point of care testing baby scales and so on condoms and other mechanical contraceptive devices, masks, medicinal stockings e g , compression stockings , medicinal gloves, insecticide treated mosquito nets and so on inhalers, syringes, humidifiers, nebulizers, hot bags, ice packs, first aid kits, bandages and so on"
60,06.1.3,Assistive products (D),"assistive products for vision, hearing, communication, and mobility and daily living, such as corrective eyeglasses spectacles and contact lenses hearing aids and wheelchairs, walking frames walkers and artificial legs"
69,07.1.1,Motor cars (D),"motor cars, passenger vans, station wagons, estate cars, sport utility vehicles suvs , off road vehicles, pickup trucks and the like, with either two or four wheel drive racing motor vehicles and vehicles for shows"
70,07.1.2,Motorcycles (D),"motorcycles of all types including those with electric motors motor scooters, mopeds and motorized bicycles with combustion engines sidecars used or second hand motorcycles snowmobiles"
